reference,reference_sha,path,decision,reason,base_blob,reference_blob,candidate_blob
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,CMakeLists.txt,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",8b6ade5562323d20b8890ba71311b7a52508f9c9,9606872bc8d4966633ad59ad5841498b86222043,8b6ade5562323d20b8890ba71311b7a52508f9c9
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,docs/develop-apps/contribute/start-here/architecture.md,superseded,"Keep consolidated documentation/tooling; older workflow is comparison evidence, not a runtime dependency.",75c68ca897abb95af7ae659487ec914bd620f491,02dc6a8a47f75f566144e1547024751e357fbe58,f92ecf8347c5de8c7cd20d400856ac714872e54b
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,include/gst/SimaPluginStaticManifestAbi.h,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",57a791d26ae63bf8f228b202e3b41a6b742a0bcc,7e14f75fa894f095e3aa7c0d0d2d564bd1d9d0ca,8d8f3944bbcff988cd038337fd2f881f00841e8c
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/model/ModelPack.cpp,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",ee71f6f10e0076ad030d1d0a7dcd45a3368fbc50,7b92d911005b0c8bae18e64ec95ed496dca972b0,00f57d636c902a74cfa07e64982540fee40d50b8
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/model/internal/ModelPack.h,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",cc2834940a8ada971fad7f049575665ec91249cb,0b8432eddfb8cb8153c5ace51cdbd98430e298ae,34c521160aa28668949b77c7d281210d03b6036d
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/graph/GraphBuildInput.cpp,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",f1ad374792a92eeaa730aea613b253303c222dd1,afebd8f08a28d9f1a5968f994511293d2161ca9d,4c5d9d9e540a45e315653106b3e663b0ce1e56e3
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/graph/GraphBuildSource.cpp,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",727f9a4a8b74c42b0522cc2d67d4f509f59cac6c,dd8d33d8b363c70b939c9294dc175792c5363b30,727f9a4a8b74c42b0522cc2d67d4f509f59cac6c
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/gst/GstDiagnosticsUtil.cpp,already included,Reference and starting-superset blobs match; no import needed.,8ab82327b61f6dad639bb36a0e403d45cc4b1a74,8ab82327b61f6dad639bb36a0e403d45cc4b1a74,8ab82327b61f6dad639bb36a0e403d45cc4b1a74
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/gst/InputStreamLifecycle.cpp,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",c39c0daaadd4809acfe55bd29b1280c35bda613b,b28442efc8fc0fbe3fc31768aaef8258a5226f99,c39c0daaadd4809acfe55bd29b1280c35bda613b
local,2688cc2a426a5a8b24c3b33a98b8f6830f1f005f,src/pipeline/gst/InputStreamUtil.cpp,superseded,"Retain superset physical planning, typed model contracts and lifecycle; do not restore old selectors or duplicate LegacyAfeMpkDecoder.",87befb70e9f7670a419d1fd7f7bfe36dd6f293ef,57fc3dc1259289183fe9822c129012d33dc452d4,4e1523ef92f112c607536a81e2cc1ecdaea2880e
